Flight_ID,Booking_ID,Passenger_ID,Leg_ID,FlightType,Price,FP_FirstName,FP_LastName,FP_PassportNumber,FP_Email,LegNumber,DepartureAirport,DepartureDateTime,DepartureSeat,ArrivalAirport,ArrivalDateTime,ArrivalSeat,FlightPrice,User_ID,U_FirstName,U_LastName,U_Email,U_Password,U_Address,U_Phone,Review_ID,ReviewRating,ReviewComment,Hotel_ID,HotelName,HotelLocation,HotelStar,Chain_ID,ChainName,HC_ContactPerson,HC_ContactEmail,HC_ContactPhone,Amentity_ID,FitnessCenter,FreeParking,AirportShuttle,Laundry,PetFriendly,Pool,Bar,BookingDate,Status,Payment_ID,PaymentMethod,BookingDateTime,Room_ID,Guest_ID,RoomType,RoomArea,RoomCapacity,R_PricePerNight,PricePerNight,CheckInDateTime,CheckOutDateTime,CityView,NonSmoking,NumberOfGuest,HaveChildren,RentalCompany_ID,CRC_Name,CRC_FirstName,CRC_LastName,CRC_Phone,CRC_Email,Driver_ID,DriverAge,DriverLiscense,D_FirstName,D_LastName,Rental_ID,CarModel,NumberOfSeats,PickUpLocation,ReturnLocation,PickUpDateTime,ReturnDateTime,CR_PricePerDay
79798,65836,49614,28141,GO_FIRST,5954,Lisa,Wilson,4228750,lisa.wilson@gmail.com,1,ZSC,2024-05-15 00:17:25.692536,14B,EAL,2024-05-16 06:17:25.692536,44D,2866,95753,Fatima,Thomas,fatima.thomas@icloud.com,508400,"Maple Street, Sunnyvale, CA, 12345",313-431-8638,577975,3,Bad,1,Marriot,Chicago,4,1,Marriot,David,david@gmail.com,222-222-2222,001,True,True,True,True,True,True,True,2024-02-18 00:17:25.692536,confirmed,39998,Bank Transfer,2024-02-18 00:17:25.692536,484,4533488,Double,354.04,4.0,,640.8,2024-05-16 16:17:25.692536,2024-05-24 16:17:25.692536,False,False,3,True,353803,Enterprise Rent-A-Car,Jennifer,Khan,619-439-4651,jennifer.khan@outlook.com,354334,57,5299529,Robert,Volkov,898510,EV,4,Airport,Airport,2024-05-20 06:17:25.692536,2024-05-22 06:17:25.692536,576
60889,88181,64932,46841,GO_FIRST,5954,Matthew,Jones,9678726,matthew.jones@icloud.com,4,EAL,2024-02-28 00:17:25.692538,16A,SKT,2024-02-29 06:17:25.692538,38E,764,19928,Jennifer,Jackson,jennifer.jackson@outlook.com,629880,"Elm Road, Sunnyvale, WA, 45678",572-907-4868,587980,1,Bad,6,Conrad,Boston,5,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,006,True,False,True,True,False,False,True,2023-12-03 00:17:25.692538,confirmed,11850,Third Party,2023-12-03 00:17:25.692538,543,6945447,Double,359.44,4.0,,397.56,2024-02-29 07:17:25.692538,2024-03-09 07:17:25.692538,False,True,4,False,874025,Enterprise Rent-A-Car,Lisa,Martinez,590-308-3551,lisa.martinez@icloud.com,910025,37,4616507,Lisa,Davis,390670,Sedan,4,Airport,Others,2024-03-04 06:17:25.692538,2024-03-06 06:17:25.692538,157
97662,30829,71007,70996,Indigo,5955,Thomas,Martin,2000988,thomas.martin@outlook.com,3,JKD,2024-01-25 00:17:25.692540,8D,ELC,2024-01-26 06:17:25.692540,34C,9221,27108,Jennifer,Volkov,jennifer.volkov@gmail.com,546589,"Cedar Blvd, Rivertown, FL, 23456",192-852-7549,892185,4,Fair,3,Westin,Detroit,4,1,Marriot,David,david@gmail.com,222-222-2222,003,True,True,True,True,True,True,True,2023-10-30 00:17:25.692540,confirmed,64072,PayPal,2023-10-30 00:17:25.692540,1039,1902956,Double,380.12,4.0,,305.58,2024-01-26 16:17:25.692540,2024-02-04 16:17:25.692540,True,False,1,False,981288,National Car Rental,Joseph,Li,454-427-8995,joseph.li@outlook.com,445730,23,9721103,Sarah,Anderson,338928,EV,4,Hotel,Hotel,2024-01-30 06:17:25.692540,2024-02-01 06:17:25.692540,1057
58856,19025,83064,73944,Indigo,5955,Andrei,Thompson,1047790,andrei.thompson@icloud.com,5,LBV,2024-08-29 00:17:25.692541,22F,ZOZ,2024-08-30 06:17:25.692541,1E,5072,53127,Betty,Brown,betty.brown@gmail.com,928145,"Pine Lane, Rivertown, CA, 12345",750-112-3793,267904,5,Good,1,Marriot,Chicago,4,1,Marriot,David,david@gmail.com,222-222-2222,001,True,True,True,True,True,True,True,2024-06-03 00:17:25.692541,confirmed,83875,PayPal,2024-06-03 00:17:25.692541,503,9246579,Double,379.07,4.0,,497.25,2024-08-30 14:17:25.692541,2024-09-01 14:17:25.692541,False,True,3,False,325965,Fox Rent A Car,Anthony,Rodriguez,198-992-3741,anthony.rodriguez@outlook.com,147932,48,8621513,Sarah,Smith,968191,Compact,4,Hotel,Hotel,2024-09-03 06:17:25.692541,2024-09-05 06:17:25.692541,75
33249,30518,40953,65142,Indigo,5955,Lena,Gupta,3983382,lena.gupta@outlook.com,2,ZWB,2024-03-26 00:17:25.692543,41A,WIY,2024-03-27 06:17:25.692543,28B,6993,32487,Chi,Singh,chi.singh@gmail.com,707542,"Cedar Blvd, Rivertown, CA, 45678",878-604-2528,177453,4,Bad,5,Hampton,Lansing,3,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,005,True,False,True,True,False,False,True,2023-12-30 00:17:25.692543,confirmed,96223,Debit Card,2023-12-30 00:17:25.692543,720,2784442,Suite,615.76,6.0,,887.78,2024-03-27 07:17:25.692543,2024-04-03 07:17:25.692543,False,True,2,False,390108,Alamo Rent A Car,Nancy,Schneider,221-194-1173,nancy.schneider@icloud.com,254463,42,2378233,Sandra,Martin,391349,MiniVan,6,Hotel,Hotel,2024-03-31 06:17:25.692543,2024-04-02 06:17:25.692543,363
69395,59329,13601,44242,Indigo,5955,William,Gupta,9104479,william.gupta@outlook.com,1,WIY,2024-03-30 00:17:25.692545,6D,DOJ,2024-03-31 06:17:25.692545,23B,7303,47951,Fatima,Martinez,fatima.martinez@gmail.com,940803,"Maple Street, Sunnyvale, NY, 23456",599-321-2273,803823,3,Good,4,Courtyard,Stanford,3,1,Marriot,David,david@gmail.com,222-222-2222,004,True,True,True,True,True,True,True,2024-01-03 00:17:25.692545,confirmed,38958,Debit Card,2024-01-03 00:17:25.692545,423,7450464,King,463.47,2.0,,749.13,2024-03-31 16:17:25.692545,2024-04-02 16:17:25.692545,True,True,2,True,593835,National Car Rental,John,Johnson,263-685-3709,john.johnson@gmail.com,911156,30,5679843,Andrei,Kim,306622,MiniVan,6,Airport,Others,2024-04-04 06:17:25.692545,2024-04-06 06:17:25.692545,400
96075,27543,47845,45472,Air_India,5955,Ivan,Moore,4657399,ivan.moore@icloud.com,5,GFU,2024-09-21 00:17:25.692547,9A,YPK,2024-09-22 06:17:25.692547,35D,5497,45149,Hana,Williams,hana.williams@gmail.com,818135,"Oak Avenue, Rivertown, NY, 45678",750-436-6753,134964,5,Good,6,Conrad,Boston,5,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,006,True,False,True,True,False,False,True,2024-06-26 00:17:25.692547,confirmed,68040,PayPal,2024-06-26 00:17:25.692547,455,5780854,Suite,766.82,6.0,,826.77,2024-09-22 12:17:25.692547,2024-09-28 12:17:25.692547,False,True,3,False,223650,National Car Rental,Kumar,Gupta,362-702-5826,kumar.gupta@gmail.com,990368,33,2136466,Barbara,Jones,954286,SUV,5,Hotel,Hotel,2024-09-26 06:17:25.692547,2024-09-28 06:17:25.692547,193
49256,87384,63827,15500,Air_India,5955,Andrei,Taylor,8768337,andrei.taylor@icloud.com,3,ELC,2024-08-07 00:17:25.692549,34F,PMO,2024-08-08 06:17:25.692549,43C,1716,63862,Mary,Smith,mary.smith@gmail.com,382759,"Maple Street, Springfield, WA, 12345",451-514-8427,461093,1,Fair,6,Conrad,Boston,5,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,006,True,False,True,True,False,False,True,2024-05-12 00:17:25.692549,confirmed,67493,Debit Card,2024-05-12 00:17:25.692549,725,1765730,Suite,788.67,6.0,,933.28,2024-08-08 15:17:25.692549,2024-08-18 15:17:25.692549,True,False,6,False,196202,Enterprise Rent-A-Car,Charles,Rodriguez,192-238-3554,charles.rodriguez@outlook.com,749145,50,4503711,Lisa,Davis,510735,MiniVan,6,Hotel,Hotel,2024-08-12 06:17:25.692549,2024-08-14 06:17:25.692549,1148
61157,21547,65204,88736,AirAsia,5949,Andrei,Brown,6176645,andrei.brown@icloud.com,3,SKT,2024-06-05 00:17:25.692551,38E,DOJ,2024-06-06 06:17:25.692551,19B,6647,76208,Alejandro,Gupta,alejandro.gupta@icloud.com,984090,"Elm Road, Sunnyvale, TX, 45678",608-380-5914,556736,4,Fair,2,Edition,Manhattan,5,1,Marriot,David,david@gmail.com,222-222-2222,002,True,True,True,True,True,True,True,2024-03-10 00:17:25.692551,confirmed,83342,Debit Card,2024-03-10 00:17:25.692551,1198,7025664,King,480.66,2.0,,394.77,2024-06-06 14:17:25.692551,2024-06-12 14:17:25.692551,True,True,1,True,344987,National Car Rental,Linda,Jones,507-136-9606,linda.jones@outlook.com,182017,55,1624948,Anthony,Rodriguez,926525,Compact,4,Airport,Hotel,2024-06-10 06:17:25.692551,2024-06-12 06:17:25.692551,519
55598,80297,31365,46059,AirAsia,5949,Charles,Garcia,4161388,charles.garcia@icloud.com,4,SNR,2024-08-03 00:17:25.692553,18F,ELC,2024-08-04 06:17:25.692553,49F,6358,91186,Thomas,Gupta,thomas.gupta@gmail.com,511575,"Elm Road, Sunnyvale, NY, 34567",132-280-1125,365070,1,Good,5,Hampton,Lansing,3,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,005,True,False,True,True,False,False,True,2024-05-08 00:17:25.692553,canceled,90753,Third Party,2024-05-08 00:17:25.692553,1288,5134246,King,421.88,2.0,,650.93,2024-08-04 15:17:25.692553,2024-08-14 15:17:25.692553,False,False,1,True,503456,Enterprise Rent-A-Car,Lisa,Kim,193-964-2167,lisa.kim@gmail.com,653364,77,9018997,Karen,Miller,459766,SUV,5,Others,Airport,2024-08-08 06:17:25.692553,2024-08-10 06:17:25.692553,1469
18965,81406,99711,85657,GO_FIRST,5954,John,Khan,4789633,john.khan@icloud.com,3,SNR,2024-07-29 00:17:25.692555,11E,DOJ,2024-07-30 06:17:25.692555,5B,8103,32338,Ivan,Davis,ivan.davis@icloud.com,149495,"Pine Lane, Hillcrest, FL, 23456",384-860-9973,933901,2,Fair,4,Courtyard,Stanford,3,1,Marriot,David,david@gmail.com,222-222-2222,004,True,True,True,True,True,True,True,2024-05-03 00:17:25.692555,confirmed,59921,Debit Card,2024-05-03 00:17:25.692555,372,4700661,King,449.44,2.0,,702.05,2024-07-30 14:17:25.692555,2024-08-06 14:17:25.692555,False,False,2,True,328621,Eurocar,Susan,Smith,194-685-5486,susan.smith@outlook.com,938889,83,8504329,Alejandro,Jones,926536,SUV,5,Hotel,Hotel,2024-08-03 06:17:25.692555,2024-08-05 06:17:25.692555,356
79140,64207,71791,33222,GO_FIRST,5954,Patricia,Volkov,1845164,patricia.volkov@outlook.com,3,GFU,2024-01-05 00:17:25.692556,42E,ZWB,2024-01-06 06:17:25.692556,45A,939,18604,Thomas,Moore,thomas.moore@gmail.com,715964,"Maple Street, Hillcrest, TX, 23456",472-237-2418,461217,5,Fair,3,Westin,Detroit,4,1,Marriot,David,david@gmail.com,222-222-2222,003,True,True,True,True,True,True,True,2023-10-10 00:17:25.692556,confirmed,91290,Credit Card,2023-10-10 00:17:25.692556,615,5186814,Suite,543.26,6.0,,1174.42,2024-01-06 14:17:25.692556,2024-01-08 14:17:25.692556,False,False,5,False,161159,Fox Rent A Car,Patricia,Miller,687-608-3555,patricia.miller@gmail.com,762852,42,5830730,David,Rossi,452610,SUV,5,Airport,Others,2024-01-10 06:17:25.692556,2024-01-12 06:17:25.692556,1422
12508,88723,31006,54753,GO_FIRST,5954,Sandra,Thompson,4227030,sandra.thompson@icloud.com,1,PMO,2024-01-22 00:17:25.692558,3F,WIY,2024-01-23 06:17:25.692558,29D,382,68192,Robert,Rodriguez,robert.rodriguez@gmail.com,283895,"Cedar Blvd, Rivertown, FL, 12345",944-210-1029,834184,4,Fair,4,Courtyard,Stanford,3,1,Marriot,David,david@gmail.com,222-222-2222,004,True,True,True,True,True,True,True,2023-10-27 00:17:25.692558,confirmed,37071,Credit Card,2023-10-27 00:17:25.692558,1279,4871472,King,473.69,2.0,,730.28,2024-01-23 13:17:25.692558,2024-02-02 13:17:25.692558,True,False,2,True,603649,Fox Rent A Car,Daniel,Volkov,807-117-2577,daniel.volkov@outlook.com,168045,43,6114613,Susan,Li,591123,Sedan,4,Hotel,Hotel,2024-01-27 06:17:25.692558,2024-01-29 06:17:25.692558,1307
80533,12389,16268,59232,Air_India,5955,Barbara,Rodriguez,2531692,barbara.rodriguez@icloud.com,4,SKT,2024-05-11 00:17:25.692560,13C,EAL,2024-05-12 06:17:25.692560,21E,2543,42944,Sandra,Jones,sandra.jones@outlook.com,948769,"Oak Avenue, Rivertown, CA, 56789",758-836-3788,433579,3,Fair,4,Courtyard,Stanford,3,1,Marriot,David,david@gmail.com,222-222-2222,004,True,True,True,True,True,True,True,2024-02-14 00:17:25.692560,confirmed,48943,Bank Transfer,2024-02-14 00:17:25.692560,1145,8120577,King,451.58,2.0,,461.43,2024-05-12 07:17:25.692560,2024-05-21 07:17:25.692560,True,True,2,False,269510,Thrifty,Lisa,Jones,328-269-1485,lisa.jones@icloud.com,732630,39,3912887,Lena,Davis,826727,Compact,4,Others,Airport,2024-05-16 06:17:25.692560,2024-05-18 06:17:25.692560,506
54057,35031,57598,38099,Indigo,6165,Ying,Taylor,4759795,ying.taylor@outlook.com,2,RMB,2024-07-01 00:17:25.692562,34A,ZSC,2024-07-02 06:17:25.692562,8D,1436,92488,Ivan,Rossi,ivan.rossi@icloud.com,538151,"Maple Street, Springfield, TX, 12345",296-567-9503,923769,3,Fair,3,Westin,Detroit,4,1,Marriot,David,david@gmail.com,222-222-2222,003,True,True,True,True,True,True,True,2024-04-05 00:17:25.692562,confirmed,24955,Bank Transfer,2024-04-05 00:17:25.692562,987,4868750,King,446.39,2.0,,423.24,2024-07-02 14:17:25.692562,2024-07-05 14:17:25.692562,False,False,2,False,757207,Eurocar,Christopher,Moore,139-311-5855,christopher.moore@outlook.com,222059,31,5539410,Nancy,Hernandez,862388,MiniVan,6,Airport,Airport,2024-07-06 06:17:25.692562,2024-07-08 06:17:25.692562,846
42883,24891,79568,11268,Vistara,6690,Jennifer,Rodriguez,7712832,jennifer.rodriguez@gmail.com,2,GFU,2024-06-11 00:17:25.692564,29E,ZOZ,2024-06-12 06:17:25.692564,33B,4126,76813,Daniel,Schneider,daniel.schneider@gmail.com,842296,"Pine Lane, Sunnyvale, NY, 34567",372-247-1474,627182,1,Fair,5,Hampton,Lansing,3,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,005,True,False,True,True,False,False,True,2024-03-16 00:17:25.692564,confirmed,38643,Bank Transfer,2024-03-16 00:17:25.692564,1291,6981943,King,460.8,2.0,,452.57,2024-06-12 12:17:25.692564,2024-06-21 12:17:25.692564,False,False,2,True,357071,Avis Car Rental,Kumar,Rossi,639-609-8661,kumar.rossi@outlook.com,818137,59,7560170,John,Taylor,394426,EV,4,Others,Airport,2024-06-16 06:17:25.692564,2024-06-18 06:17:25.692564,620
34048,29697,49552,44513,Indigo,6585,William,Jackson,5748338,william.jackson@icloud.com,1,WIT,2024-03-21 00:17:25.692565,28B,EAL,2024-03-22 06:17:25.692565,24A,9744,83461,Lena,Rossi,lena.rossi@outlook.com,460975,"Oak Avenue, Lakewood, CA, 45678",981-977-1358,558046,2,Good,1,Marriot,Chicago,4,1,Marriot,David,david@gmail.com,222-222-2222,001,True,True,True,True,True,True,True,2023-12-25 00:17:25.692565,confirmed,93075,Credit Card,2023-12-25 00:17:25.692565,632,1500921,Double,378.42,4.0,,391.46,2024-03-22 07:17:25.692565,2024-04-01 07:17:25.692565,True,True,3,False,499725,Hertz,Thomas,Rodriguez,237-638-2761,thomas.rodriguez@gmail.com,685470,22,7302564,Sarah,Volkov,792590,Compact,4,Hotel,Hotel,2024-03-26 06:17:25.692565,2024-03-28 06:17:25.692565,811
44454,26370,34657,43772,AirAsia,8869,Ying,Thompson,8243326,ying.thompson@gmail.com,4,JOB,2024-07-23 00:17:25.692567,9F,SNR,2024-07-24 06:17:25.692567,8C,4101,26071,Patricia,Li,patricia.li@outlook.com,857008,"Elm Road, Hillcrest, FL, 56789",707-374-6524,680159,2,Bad,6,Conrad,Boston,5,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,006,True,False,True,True,False,False,True,2024-04-27 00:17:25.692567,confirmed,50147,Debit Card,2024-04-27 00:17:25.692567,867,6808791,Double,372.32,4.0,,603.15,2024-07-24 16:17:25.692567,2024-07-25 16:17:25.692567,True,False,1,False,340399,Fox Rent A Car,Hana,Jones,540-230-2356,hana.jones@icloud.com,698854,19,2689357,James,Williams,318437,SUV,5,Hotel,Airport,2024-07-28 06:17:25.692567,2024-07-30 06:17:25.692567,947
31569,76667,52207,21996,SpiceJet,10260,William,Garcia,7044820,william.garcia@icloud.com,3,SNR,2024-09-25 00:17:25.692569,42B,YPK,2024-09-26 06:17:25.692569,8B,2198,78247,Mary,Brown,mary.brown@icloud.com,932079,"Elm Road, Springfield, CA, 12345",535-894-4505,550401,4,Good,1,Marriot,Chicago,4,1,Marriot,David,david@gmail.com,222-222-2222,001,True,True,True,True,True,True,True,2024-06-30 00:17:25.692569,confirmed,29595,Bank Transfer,2024-06-30 00:17:25.692569,977,9238053,Double,395.4,4.0,,356.26,2024-09-26 14:17:25.692569,2024-09-27 14:17:25.692569,True,False,4,True,282917,Fox Rent A Car,Jennifer,Gupta,263-193-9161,jennifer.gupta@icloud.com,739753,62,4360190,Richard,Schneider,998495,Compact,4,Hotel,Airport,2024-09-30 06:17:25.692569,2024-10-02 06:17:25.692569,1197
